hours_studied,attendance,previous_score,passed
2,51,82,0
5,65,49,0
3,97,41,0
9,55,72,1
7,52,36,0
2,63,49,0
9,88,36,1
9,62,80,1
9,76,49,1
8,87,52,1
1,98,86,1
3,94,62,1
6,67,44,0
4,98,56,1
2,55,59,0
2,72,89,1
6,88,51,1
1,96,64,0
9,57,94,1
7,55,70,1
5,90,74,1
6,86,47,1
2,52,77,0
4,99,53,1
2,64,90,1
2,74,52,0
8,90,88,1
6,60,58,1
6,63,77,1
5,94,94,1
2,88,75,1
3,84,81,1
4,60,64,0
7,67,94,1
9,64,78,1
6,99,84,1
1,64,87,0
1,70,60,0
5,54,48,0
10,95,55,1
4,91,66,1
7,91,64,1
3,66,43,0
4,97,70,1
9,66,82,1
10,77,92,1
10,75,58,1
4,58,67,0
8,55,83,1
1,57,44,0
3,100,78,1
7,88,39,1
7,74,73,1
8,83,51,1
9,50,78,1
2,93,91,1
9,98,52,1
6,57,53,0
7,60,64,1
1,96,91,1
5,82,83,1
3,82,93,1
2,90,54,0
9,88,47,1
3,73,83,1
3,84,84,1
9,50,73,1
6,81,36,0
2,73,91,1
5,65,38,0
4,86,95,1
2,55,81,0
8,54,83,1
9,99,43,1
3,92,65,1
9,60,51,1
9,88,62,1
4,84,83,1
4,95,54,1
7,92,76,1
6,78,92,1
9,78,42,1
4,64,39,0
6,51,72,1
9,64,72,1
4,50,39,0
1,64,39,0
1,71,39,0
9,65,52,1
8,63,69,1
3,96,94,1
10,86,65,1
4,100,65,1
7,62,41,0
2,92,62,0
6,77,61,1
8,96,38,1
2,53,60,0
6,56,50,0
4,62,69,0
